2019-06-04 08:54:18.956954 full_scrape() empty dataframe error | URL: https://www.patheos.com/blogs/catholicnews/2015/02/to-follow-christ-we-must-confront-lifes-deserts-pope-says-2/
2019-06-04 13:56:58.696324 full_scrape() empty dataframe error | URL: https://www.patheos.com/blogs/catholicnews/2012/10/paul-ryan-video-for-catholic-voters-stresses-religious-freedom-2/
2019-06-04 16:21:29.874437 full_scrape() empty dataframe error | URL: https://www.patheos.com/blogs/daffeythoughts/2016/07/christiane-amanpour-does-double-duty.html
https://www.patheos.com/blogs/daffeythoughts/2016/07/christiane-amanpour-does-double-duty.html
